Sno,variables_Batch,variables,Type,Module
185,BUREAUSCORE,CREDIT_SCORE,Numerical,BUREAU
186,AVG_CREDIT_PAIDBACK_LAST30D,AVG_CREDIT_PAIDBACK_LAST30D,Numerical,Transaction
187,COUNT_4_DPD_120_150_D,COUNT_4_DPD_120_150_D,Numerical,PERFORMANCE
188,NUM_PAYOUTSETTLED_1_TO_30_D,NUM_PAYOUTSETTLED_1_TO_30_D,Numerical,ACTIVITY
189,MIN_AVAILABLE_BALANCE_90TO120D_SMS_BANKING,MIN_AVAILABLE_BALANCE_90TO120D,Numerical,SMS
190,NUM_CREDIT_TXNS_500_TO_2000_LAST30D_SMS_BANKING,NUM_CREDIT_TXNS_500_TO_2000_LAST30D,Numerical,SMS
191,NUM_PAYMENTPAYNOWCLICK_1_TO_30_D,NUM_PAYMENTPAYNOWCLICK_1_TO_30_D,Numerical,ACTIVITY
192,NUM_LOAN_APPLICATION_SMS_LAST_30D,NUM_LOAN_APPLIED_LAST_30D,Numerical,SMS
193,RATIO_COUNT_CREDIT_WEEK_OF_MONTH_FOURTH_TRXNS_30TO60D_COUNT_CREDIT_WEEK_OF_MONTH_FOURTH_TRXNS_60TO90D,RATIO_COUNT_CREDIT_WEEK_OF_MONTH_FOURTH_TRXNS_30TO60D_COUNT_CREDIT_WEEK_OF_MONTH_FOURTH_TRXNS_60TO90D,Numerical,Transaction
194,RATIO_AVG_DEBIT_AMOUNT_LAST30D_VS_30TO60D_CC_SMS_BANKING,RATIO_CREDIT_CARD_AVG_DEBIT_AMOUNT_LAST30D_VS_30TO60D,Numerical,SMS
195,RATIO_CREDIT_TAKEN_LIFETIME_CREDIT_PAIDBACK_LIFETIME,RATIO_CREDIT_TAKEN_LIFETIME_CREDIT_PAIDBACK_LIFETIME,Numerical,Transaction
196,COUNT_5_DPD_60_90_D,COUNT_5_DPD_60_90_D,Numerical,PERFORMANCE
197,BUREAUSCORE_P10,BUREAUSCORE_P10,Numerical,LOCATION
198,RATIO_MAX_DEBIT_AMOUNT_LAST30D_VS_30TO60D_CC_SMS_BANKING,RATIO_CREDIT_CARD_MAX_DEBIT_AMOUNT_LAST30D_VS_30TO60D,Numerical,SMS
199,AVG_CURRENT_BALANCE_ACTIVE,AVG_CURRENT_BALANCE_ACTIVE,Numerical,BUREAU
200,AVG_DEBIT_AMOUNT_LAST30D_CC_SMS_BANKING,AVG_CREDIT_CARD_DEBIT_AMOUNT_LAST30D,Numerical,SMS
201,AVG_AMOUNT_PAST_DUE,AMOUNT_PAST_DUE_AVG,Numerical,BUREAU
202,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_CLOSED,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_CLOSED,Numerical,BUREAU
203,RATIO_COUNT_DEBIT_WEEKDAY_TYPE_WEEKEND_TRXNS_LAST30D_COUNT_DEBIT_WEEKDAY_TYPE_WEEKEND_TRXNS_120TO150D,RATIO_COUNT_DEBIT_WEEKDAY_TYPE_WEEKEND_TRXNS_LAST30D_COUNT_DEBIT_WEEKDAY_TYPE_WEEKEND_TRXNS_120TO150D,Numerical,Transaction
204,RATIO_NUM_DEBIT_TXNS_NUM_CREDIT_TXNS_LAST30D_SMS_BANKING,RATIO_NUM_DEBIT_TXNS_NUM_CREDIT_TXNS_LAST30D,Numerical,SMS
205,NUM_SMS_150D_SMS_BANKING,NUM_SMS_150D,Numerical,SMS
206,NUM_PAYOUTCREATED_151_TO_180_D,NUM_PAYOUTCREATED_151_TO_180_D,Numerical,ACTIVITY
207,AVG_CREDIT_RECOVERED_LAST30D,AVG_CREDIT_RECOVERED_LAST30D,Numerical,Transaction
208,COUNT_0_DPD_0_15_D,COUNT_0_DPD_0_15_D,Numerical,PERFORMANCE
209,TOTAL_DEBIT_COUNT_ATM_LAST30D_SMS_BANKING,TOTAL_DEBIT_COUNT_ATM_LAST30D,Numerical,SMS
210,MAX_DAYS_PAST_DUE_240_TO_270_DAYS_NOT_NULL_COUNT,MAX_DAYS_PAST_DUE_240_TO_270_DAYS_NOT_NULL_COUNT,Numerical,LOCATION
211,CREDIT_ACCOUNT_CLOSED,CREDIT_ACCOUNT_CLOSED,Numerical,BUREAU
