Sno,variables_Batch,variables,Type,Module
259,COUNT_2_DPD_15_30_D,COUNT_2_DPD_15_30_D,Numerical,PERFORMANCE
260,RATIO_TOTAL_DEBIT_COUNT_BANK_TRANSFER_LAST30D_VS_30TO60D_SMS_BANKING,RATIO_TOTAL_DEBIT_COUNT_BANK_TRANSFER_LAST30D_VS_30TO60D,Numerical,SMS
261,NUM_CREDIT_TXNS_60TO90D_CC_SMS_BANKING,NUM_CREDIT_CARD_CREDIT_TXNS_60TO90D,Numerical,SMS
262,TOTAL_CREDIT_AMOUNT_30D_SMS_BANKING,TOTAL_CREDIT_AMOUNT_30D,Numerical,SMS
263,TOTAL_OVERDUE_AMOUNT_120TO150D,TOTAL_OVERDUE_AMOUNT_120TO150D,Numerical,SMS
264,MAX_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT,HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_MAX,Numerical,BUREAU
265,MAX_DAYS_PAST_DUE_ACTIVE_30_TO_60_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_30_TO_60_DAYS,Numerical,BUREAU
266,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_90TO120D_SMS_BANKING,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_90TO120D,Numerical,SMS
267,TOTAL_CREDIT_AMOUNT_LAST30D_SMS_BANKING,TOTAL_CREDIT_AMOUNT_LAST30D,Numerical,SMS
268,AVG_LOAN_REPAYMENT_AMOUNT_90TO120D,AVG_LOAN_REPAYMENT_AMOUNT_90TO120D,Numerical,SMS
269,COUNT_3_DPD_90_120_D,COUNT_3_DPD_90_120_D,Numerical,PERFORMANCE
270,RATIO_OF_DISTINCT_BANKS_EMI_OVERDUE_LAST_30D_TO_30TO60D,RATIO_DISTINCT_BANKS_EMI_OVERDUE_LAST_30D_TO_30TO60D,Numerical,SMS
271,TOTAL_AVAILABLE_BALANCE_150TO180D_SMS_BANKING,TOTAL_AVAILABLE_BALANCE_150TO180D,Numerical,SMS
272,CUSTOMERS_WITH_NUM_CREDIT_TXNS_100_TO_500_90TO120D_BETWEEN_0_5,CUSTOMERS_WITH_NUM_CREDIT_TXNS_100_TO_500_90TO120D_BETWEEN_0_5,Numerical,Transaction
273,ACCOUNT_OPENED_IN_LAST_120_DAYS_WITH_AMOUNT_LT_100000,ACCOUNT_OPENED_IN_LAST_120_DAYS_WITH_AMOUNT_LT_100000,Numerical,BUREAU
274,MAX_DAYS_PAST_DUE_UNSECURED_330_TO_360_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_330_TO_360_DAYS,Numerical,BUREAU
275,NUM_SMS_WITH_DUE_AMOUNT_LAST_30D,NUM_SMS_WITH_DUE_AMOUNT_LAST_30D,Numerical,SMS
276,TOTAL_OVERDUE_AMOUNT_60TO90D,TOTAL_OVERDUE_AMOUNT_60TO90D,Numerical,SMS
277,RATIO_AVG_CDT_AMT_LAST30D_VS_60TO90D_CC_SMS_BANKING,RATIO_CREDIT_CARD_AVG_CDT_AMT_LAST30D_VS_60TO90D,Numerical,SMS
278,NUM_MAINSHOWBOOKS_151_TO_180_D,NUM_MAINSHOWBOOKS_151_TO_180_D,Numerical,ACTIVITY
279,RATIO_CREDIT_GIVEN_60TO90D_CREDIT_GIVEN_330TO360D,RATIO_CREDIT_GIVEN_60TO90D_CREDIT_GIVEN_330TO360D,Numerical,Transaction
280,RATIO_TOTAL_DEBIT_AMOUNT_BANK_TRANSFER_LAST30D_VS_30TO60D_SMS_BANKING,RATIO_TOTAL_DEBIT_AMOUNT_BANK_TRANSFER_LAST30D_VS_30TO60D,Numerical,SMS
281,NUM_MAINBILLSCLICK_91_TO_120_D,NUM_MAINBILLSCLICK_91_TO_120_D,Numerical,ACTIVITY
282,COUNT_7_DPD_60_90_D,COUNT_7_DPD_60_90_D,Numerical,PERFORMANCE
283,TOTAL_REPAYMENT_TENURE_UNSECURED_TOTAL,TOTAL_REPAYMENT_TENURE_UNSECURED_TOTAL,Numerical,LOCATION
284,RATIO_OF_MAX_OVERDUE_AMOUNT_LAST_30D_TO_90TO120D,RATIO_MAX_OVERDUE_AMOUNT_LAST_30D_TO_90TO120D,Numerical,SMS
285,NUM_MAINMONEYCLICK_61_TO_90_D,NUM_MAINMONEYCLICK_61_TO_90_D,Numerical,ACTIVITY
